ID,Year,AgeGroup,SmokingStatus,Maternities
1,2015/16,25-34,Current smoker,7
2,2015/16,25-34,Former smoker,16
3,2015/16,25-34,Never smoked,43
4,2015/16,25-34,Unknown,16
5,2015/16,35 and over,Former smoker,3
6,2015/16,35 and over,Never smoked,12
7,2015/16,35 and over,Unknown,4
8,2015/16,Under 25,Current smoker,5
9,2015/16,Under 25,Former smoker,8
10,2015/16,Under 25,Never smoked,16
11,2015/16,Under 25,Unknown,3
12,2015/16,25-34,Current smoker,21
13,2015/16,25-34,Former smoker,4
14,2015/16,25-34,Never smoked,51
15,2015/16,25-34,Current smoker,14
16,2015/16,25-34,Former smoker,11
17,2015/16,25-34,Never smoked,68
18,2015/16,25-34,Current smoker,4
19,2015/16,25-34,Former smoker,5
20,2015/16,25-34,Never smoked,44
21,2015/16,25-34,Unknown,2
22,2015/16,25-34,Current smoker,4
23,2015/16,25-34,Former smoker,7
24,2015/16,25-34,Never smoked,45
25,2015/16,25-34,Current smoker,1
26,2015/16,25-34,Former smoker,1
27,2015/16,25-34,Never smoked,17
28,2015/16,35 and over,Current smoker,4
29,2015/16,35 and over,Former smoker,2
30,2015/16,35 and over,Never smoked,16
31,2015/16,35 and over,Current smoker,5
32,2015/16,35 and over,Former smoker,2
33,2015/16,35 and over,Never smoked,14
34,2015/16,35 and over,Current smoker,1
35,2015/16,35 and over,Former smoker,1
36,2015/16,35 and over,Never smoked,14
37,2015/16,35 and over,Current smoker,2
38,2015/16,35 and over,Former smoker,3
39,2015/16,35 and over,Never smoked,15
40,2015/16,35 and over,Current smoker,1
41,2015/16,35 and over,Never smoked,15
42,2015/16,Under 25,Current smoker,21
43,2015/16,Under 25,Former smoker,6
44,2015/16,Under 25,Never smoked,48
45,2015/16,Under 25,Unknown,1
46,2015/16,Under 25,Current smoker,12
47,2015/16,Under 25,Former smoker,4
48,2015/16,Under 25,Never smoked,28
49,2015/16,Under 25,Never smoked,13
50,2015/16,Under 25,Current smoker,1
51,2015/16,Under 25,Former smoker,1
52,2015/16,Under 25,Never smoked,6
53,2015/16,Under 25,Current smoker,1
54,2015/16,Under 25,Former smoker,1
55,2015/16,Under 25,Never smoked,1
56,2015/16,25-34,Current smoker,28
57,2015/16,25-34,Former smoker,16
58,2015/16,25-34,Never smoked,45
59,2015/16,25-34,Unknown,1
60,2015/16,25-34,Current smoker,49
61,2015/16,25-34,Former smoker,34
62,2015/16,25-34,Never smoked,152
63,2015/16,25-34,Current smoker,29
64,2015/16,25-34,Former smoker,20
65,2015/16,25-34,Never smoked,197
66,2015/16,25-34,Unknown,3
67,2015/16,25-34,Current smoker,12
68,2015/16,25-34,Former smoker,11
69,2015/16,25-34,Never smoked,101
70,2015/16,25-34,Current smoker,3
71,2015/16,25-34,Former smoker,10
72,2015/16,25-34,Never smoked,57
73,2015/16,35 and over,Current smoker,4
74,2015/16,35 and over,Former smoker,2
75,2015/16,35 and over,Never smoked,5
76,2015/16,35 and over,Unknown,1
77,2015/16,35 and over,Current smoker,8
78,2015/16,35 and over,Former smoker,6
79,2015/16,35 and over,Never smoked,35
80,2015/16,35 and over,Unknown,1
81,2015/16,35 and over,Current smoker,5
82,2015/16,35 and over,Former smoker,10
83,2015/16,35 and over,Never smoked,52
84,2015/16,35 and over,Current smoker,7
85,2015/16,35 and over,Never smoked,25
86,2015/16,35 and over,Unknown,1
87,2015/16,35 and over,Former smoker,1
88,2015/16,35 and over,Never smoked,17
89,2015/16,Under 25,Current smoker,33
90,2015/16,Under 25,Former smoker,19
91,2015/16,Under 25,Never smoked,33
92,2015/16,Under 25,Unknown,2
93,2015/16,Under 25,Current smoker,31
94,2015/16,Under 25,Former smoker,21
95,2015/16,Under 25,Never smoked,57
96,2015/16,Under 25,Unknown,2
97,2015/16,Under 25,Current smoker,20
98,2015/16,Under 25,Former smoker,14
99,2015/16,Under 25,Never smoked,35
100,2015/16,Under 25,Unknown,3
101,2015/16,Under 25,Current smoker,1
102,2015/16,Under 25,Former smoker,4
103,2015/16,Under 25,Never smoked,19
104,2015/16,Under 25,Current smoker,1
105,2015/16,Under 25,Former smoker,2
106,2015/16,Under 25,Never smoked,11
107,2015/16,25-34,Current smoker,66
108,2015/16,25-34,Former smoker,55
109,2015/16,25-34,Never smoked,132
110,2015/16,25-34,Current smoker,29
111,2015/16,25-34,Former smoker,36
112,2015/16,25-34,Never smoked,146
113,2015/16,25-34,Current smoker,14
114,2015/16,25-34,Former smoker,25
115,2015/16,25-34,Never smoked,83
116,2015/16,25-34,Unknown,2
117,2015/16,25-34,Current smoker,3
118,2015/16,25-34,Former smoker,8
119,2015/16,25-34,Never smoked,83
120,2015/16,25-34,Current smoker,2
121,2015/16,25-34,Former smoker,7
122,2015/16,25-34,Never smoked,52
123,2015/16,35 and over,Current smoker,12
124,2015/16,35 and over,Former smoker,7
125,2015/16,35 and over,Never smoked,30
126,2015/16,35 and over,Current smoker,4
127,2015/16,35 and over,Former smoker,14
128,2015/16,35 and over,Never smoked,39
129,2015/16,35 and over,Current smoker,4
130,2015/16,35 and over,Former smoker,5
131,2015/16,35 and over,Never smoked,22
132,2015/16,35 and over,Unknown,2
133,2015/16,35 and over,Current smoker,1
134,2015/16,35 and over,Former smoker,10
135,2015/16,35 and over,Never smoked,25
136,2015/16,35 and over,Former smoker,3
137,2015/16,35 and over,Never smoked,29
138,2015/16,Under 25,Current smoker,62
139,2015/16,Under 25,Former smoker,38
140,2015/16,Under 25,Never smoked,70
141,2015/16,Under 25,Current smoker,23
142,2015/16,Under 25,Former smoker,33
143,2015/16,Under 25,Never smoked,32
144,2015/16,Under 25,Unknown,1
145,2015/16,Under 25,Current smoker,8
146,2015/16,Under 25,Former smoker,8
147,2015/16,Under 25,Never smoked,21
148,2015/16,Under 25,Current smoker,3
149,2015/16,Under 25,Former smoker,3
150,2015/16,Under 25,Never smoked,9
151,2015/16,Under 25,Current smoker,4
152,2015/16,Under 25,Former smoker,1
153,2015/16,Under 25,Never smoked,6
154,2015/16,25-34,Current smoker,10
155,2015/16,25-34,Former smoker,4
156,2015/16,25-34,Never smoked,13
157,2015/16,25-34,Current smoker,45
158,2015/16,25-34,Former smoker,39
159,2015/16,25-34,Never smoked,114
160,2015/16,25-34,Unknown,2
161,2015/16,25-34,Current smoker,18
162,2015/16,25-34,Former smoker,25
163,2015/16,25-34,Never smoked,62
164,2015/16,25-34,Unknown,4
165,2015/16,25-34,Current smoker,16
166,2015/16,25-34,Former smoker,22
167,2015/16,25-34,Never smoked,134
168,2015/16,25-34,Unknown,1
169,2015/16,25-34,Current smoker,6
170,2015/16,25-34,Former smoker,11
171,2015/16,25-34,Never smoked,78
172,2015/16,25-34,Unknown,1
173,2015/16,35 and over,Current smoker,1
174,2015/16,35 and over,Former smoker,2
175,2015/16,35 and over,Never smoked,5
176,2015/16,35 and over,Current smoker,6
177,2015/16,35 and over,Former smoker,9
178,2015/16,35 and over,Never smoked,32
179,2015/16,35 and over,Current smoker,4
180,2015/16,35 and over,Former smoker,4
181,2015/16,35 and over,Never smoked,32
182,2015/16,35 and over,Current smoker,3
183,2015/16,35 and over,Former smoker,16
184,2015/16,35 and over,Never smoked,73
185,2015/16,35 and over,Unknown,2
186,2015/16,35 and over,Current smoker,1
187,2015/16,35 and over,Former smoker,5
188,2015/16,35 and over,Never smoked,39
189,2015/16,Under 25,Current smoker,5
190,2015/16,Under 25,Former smoker,3
191,2015/16,Under 25,Never smoked,9
192,2015/16,Under 25,Current smoker,30
193,2015/16,Under 25,Former smoker,24
194,2015/16,Under 25,Never smoked,32
195,2015/16,Under 25,Unknown,1
196,2015/16,Under 25,Current smoker,8
197,2015/16,Under 25,Former smoker,7
198,2015/16,Under 25,Never smoked,15
199,2015/16,Under 25,Unknown,1
200,2015/16,Under 25,Current smoker,6
201,2015/16,Under 25,Former smoker,8
202,2015/16,Under 25,Never smoked,24
203,2015/16,Under 25,Current smoker,3
204,2015/16,Under 25,Former smoker,3
205,2015/16,Under 25,Never smoked,6
206,2015/16,Under 25,Unknown,1
207,2015/16,25-34,Current smoker,8
208,2015/16,25-34,Former smoker,1
209,2015/16,25-34,Never smoked,25
210,2015/16,25-34,Current smoker,9
211,2015/16,25-34,Former smoker,10
212,2015/16,25-34,Never smoked,32
213,2015/16,25-34,Unknown,1
214,2015/16,25-34,Current smoker,5
215,2015/16,25-34,Former smoker,7
216,2015/16,25-34,Never smoked,40
217,2015/16,25-34,Unknown,3
218,2015/16,25-34,Current smoker,3
219,2015/16,25-34,Former smoker,4
220,2015/16,25-34,Never smoked,63
221,2015/16,25-34,Unknown,3
222,2015/16,25-34,Current smoker,1
223,2015/16,25-34,Former smoker,18
224,2015/16,25-34,Never smoked,250
225,2015/16,25-34,Unknown,3
226,2015/16,35 and over,Current smoker,4
227,2015/16,35 and over,Former smoker,1
228,2015/16,35 and over,Never smoked,10
229,2015/16,35 and over,Current smoker,2
230,2015/16,35 and over,Former smoker,2
231,2015/16,35 and over,Never smoked,15
232,2015/16,35 and over,Former smoker,4
233,2015/16,35 and over,Never smoked,18
234,2015/16,35 and over,Current smoker,1
235,2015/16,35 and over,Former smoker,10
236,2015/16,35 and over,Never smoked,35
237,2015/16,35 and over,Unknown,3
238,2015/16,35 and over,Current smoker,3
239,2015/16,35 and over,Former smoker,18
240,2015/16,35 and over,Never smoked,172
241,2015/16,35 and over,Unknown,6
242,2015/16,Under 25,Current smoker,7
243,2015/16,Under 25,Former smoker,2
244,2015/16,Under 25,Never smoked,17
245,2015/16,Under 25,Current smoker,7
246,2015/16,Under 25,Former smoker,1
247,2015/16,Under 25,Never smoked,7
248,2015/16,Under 25,Current smoker,1
249,2015/16,Under 25,Never smoked,5
250,2015/16,Under 25,Current smoker,2
251,2015/16,Under 25,Former smoker,1
252,2015/16,Under 25,Never smoked,6
253,2015/16,Under 25,Current smoker,2
254,2015/16,Under 25,Former smoker,1
255,2015/16,Under 25,Never smoked,7
256,2015/16,Under 25,Unknown,1
257,2015/16,25-34,Current smoker,3
258,2015/16,25-34,Former smoker,3
259,2015/16,25-34,Never smoked,22
260,2015/16,25-34,Unknown,4
261,2015/16,25-34,Current smoker,11
262,2015/16,25-34,Former smoker,4
263,2015/16,25-34,Never smoked,56
264,2015/16,25-34,Unknown,7
265,2015/16,25-34,Current smoker,1
266,2015/16,25-34,Never smoked,5
267,2015/16,25-34,Unknown,1
268,2015/16,35 and over,Former smoker,2
269,2015/16,35 and over,Never smoked,6
270,2015/16,35 and over,Unknown,3
271,2015/16,35 and over,Current smoker,7
272,2015/16,35 and over,Never smoked,31
273,2015/16,35 and over,Unknown,5
274,2015/16,35 and over,Never smoked,1
275,2015/16,Under 25,Current smoker,2
276,2015/16,Under 25,Never smoked,6
277,2015/16,Under 25,Current smoker,7
278,2015/16,Under 25,Former smoker,6
279,2015/16,Under 25,Never smoked,21
280,2015/16,Under 25,Unknown,1
281,2015/16,Under 25,Current smoker,1
282,2015/16,Under 25,Former smoker,1
283,2015/16,Under 25,Never smoked,3
284,2015/16,25-34,Current smoker,34
285,2015/16,25-34,Former smoker,10
286,2015/16,25-34,Never smoked,111
287,2015/16,25-34,Unknown,4
288,2015/16,25-34,Current smoker,37
289,2015/16,25-34,Former smoker,20
290,2015/16,25-34,Never smoked,196
291,2015/16,25-34,Unknown,6
292,2015/16,25-34,Current smoker,9
293,2015/16,25-34,Former smoker,10
294,2015/16,25-34,Never smoked,98
295,2015/16,25-34,Unknown,1
296,2015/16,25-34,Current smoker,10
297,2015/16,25-34,Former smoker,8
298,2015/16,25-34,Never smoked,136
299,2015/16,25-34,Unknown,4
300,2015/16,25-34,Current smoker,9
301,2015/16,25-34,Former smoker,15
302,2015/16,25-34,Never smoked,176
303,2015/16,25-34,Unknown,1
304,2015/16,35 and over,Current smoker,7
305,2015/16,35 and over,Former smoker,2
306,2015/16,35 and over,Never smoked,20
307,2015/16,35 and over,Current smoker,8
308,2015/16,35 and over,Former smoker,4
309,2015/16,35 and over,Never smoked,61
310,2015/16,35 and over,Unknown,1
311,2015/16,35 and over,Current smoker,2
312,2015/16,35 and over,Former smoker,2
313,2015/16,35 and over,Never smoked,47
314,2015/16,35 and over,Unknown,2
315,2015/16,35 and over,Current smoker,2
316,2015/16,35 and over,Former smoker,3
317,2015/16,35 and over,Never smoked,69
318,2015/16,35 and over,Current smoker,1
319,2015/16,35 and over,Former smoker,2
320,2015/16,35 and over,Never smoked,83
321,2015/16,35 and over,Unknown,1
322,2015/16,Under 25,Current smoker,25
323,2015/16,Under 25,Former smoker,13
324,2015/16,Under 25,Never smoked,69
325,2015/16,Under 25,Unknown,1
326,2015/16,Under 25,Current smoker,22
327,2015/16,Under 25,Former smoker,14
328,2015/16,Under 25,Never smoked,94
329,2015/16,Under 25,Unknown,6
330,2015/16,Under 25,Current smoker,9
331,2015/16,Under 25,Former smoker,4
332,2015/16,Under 25,Never smoked,40
333,2015/16,Under 25,Unknown,2
334,2015/16,Under 25,Current smoker,3
335,2015/16,Under 25,Former smoker,3
336,2015/16,Under 25,Never smoked,32
337,2015/16,Under 25,Unknown,1
338,2015/16,Under 25,Current smoker,2
339,2015/16,Under 25,Former smoker,1
340,2015/16,Under 25,Never smoked,23
341,2015/16,Under 25,Unknown,1
342,2015/16,25-34,Current smoker,45
343,2015/16,25-34,Former smoker,15
344,2015/16,25-34,Never smoked,58
345,2015/16,25-34,Current smoker,46
346,2015/16,25-34,Former smoker,33
347,2015/16,25-34,Never smoked,154
348,2015/16,25-34,Unknown,2
349,2015/16,25-34,Current smoker,42
350,2015/16,25-34,Former smoker,49
351,2015/16,25-34,Never smoked,250
352,2015/16,25-34,Unknown,3
353,2015/16,25-34,Current smoker,38
354,2015/16,25-34,Former smoker,55
355,2015/16,25-34,Never smoked,307
356,2015/16,25-34,Unknown,8
357,2015/16,25-34,Current smoker,5
358,2015/16,25-34,Former smoker,10
359,2015/16,25-34,Never smoked,98
360,2015/16,25-34,Unknown,1
361,2015/16,35 and over,Current smoker,10
362,2015/16,35 and over,Former smoker,3
363,2015/16,35 and over,Never smoked,16
364,2015/16,35 and over,Current smoker,13
365,2015/16,35 and over,Former smoker,9
366,2015/16,35 and over,Never smoked,53
367,2015/16,35 and over,Current smoker,15
368,2015/16,35 and over,Former smoker,14
369,2015/16,35 and over,Never smoked,119
370,2015/16,35 and over,Unknown,1
371,2015/16,35 and over,Current smoker,10
372,2015/16,35 and over,Former smoker,10
373,2015/16,35 and over,Never smoked,106
374,2015/16,35 and over,Unknown,2
375,2015/16,35 and over,Current smoker,1
376,2015/16,35 and over,Former smoker,5
377,2015/16,35 and over,Never smoked,41
378,2015/16,Under 25,Current smoker,41
379,2015/16,Under 25,Former smoker,13
380,2015/16,Under 25,Never smoked,49
381,2015/16,Under 25,Unknown,2
382,2015/16,Under 25,Current smoker,33
383,2015/16,Under 25,Former smoker,31
384,2015/16,Under 25,Never smoked,57
385,2015/16,Under 25,Unknown,2
386,2015/16,Under 25,Current smoker,29
387,2015/16,Under 25,Former smoker,15
388,2015/16,Under 25,Never smoked,61
389,2015/16,Under 25,Unknown,3
390,2015/16,Under 25,Current smoker,33
391,2015/16,Under 25,Former smoker,23
392,2015/16,Under 25,Never smoked,60
393,2015/16,Under 25,Unknown,1
394,2015/16,Under 25,Current smoker,5
395,2015/16,Under 25,Former smoker,6
396,2015/16,Under 25,Never smoked,30
397,2015/16,25-34,Current smoker,36
398,2015/16,25-34,Former smoker,14
399,2015/16,25-34,Never smoked,133
400,2015/16,25-34,Unknown,7
401,2015/16,25-34,Current smoker,9
402,2015/16,25-34,Former smoker,4
403,2015/16,25-34,Never smoked,46
404,2015/16,25-34,Unknown,1
405,2015/16,25-34,Current smoker,7
406,2015/16,25-34,Former smoker,8
407,2015/16,25-34,Never smoked,31
408,2015/16,25-34,Unknown,1
409,2015/16,25-34,Current smoker,5
410,2015/16,25-34,Former smoker,3
411,2015/16,25-34,Never smoked,44
412,2015/16,25-34,Unknown,6
413,2015/16,25-34,Never smoked,31
414,2015/16,35 and over,Current smoker,9
415,2015/16,35 and over,Former smoker,3
416,2015/16,35 and over,Never smoked,28
417,2015/16,35 and over,Unknown,3
418,2015/16,35 and over,Current smoker,2
419,2015/16,35 and over,Never smoked,8
420,2015/16,35 and over,Unknown,1
421,2015/16,35 and over,Current smoker,1
422,2015/16,35 and over,Former smoker,2
423,2015/16,35 and over,Never smoked,23
424,2015/16,35 and over,Former smoker,1
425,2015/16,35 and over,Never smoked,26
426,2015/16,35 and over,Current smoker,3
427,2015/16,35 and over,Former smoker,6
428,2015/16,35 and over,Never smoked,24
429,2015/16,35 and over,Unknown,1
430,2015/16,Under 25,Current smoker,29
431,2015/16,Under 25,Former smoker,10
432,2015/16,Under 25,Never smoked,58
433,2015/16,Under 25,Unknown,2
434,2015/16,Under 25,Current smoker,6
435,2015/16,Under 25,Former smoker,3
436,2015/16,Under 25,Never smoked,21
437,2015/16,Under 25,Unknown,2
438,2015/16,Under 25,Current smoker,3
439,2015/16,Under 25,Never smoked,13
440,2015/16,Under 25,Current smoker,1
441,2015/16,Under 25,Never smoked,10
442,2015/16,Under 25,Never smoked,3
443,2015/16,25-34,Current smoker,20
444,2015/16,25-34,Former smoker,11
445,2015/16,25-34,Never smoked,32
446,2015/16,25-34,Unknown,1
447,2015/16,25-34,Current smoker,43
448,2015/16,25-34,Former smoker,42
449,2015/16,25-34,Never smoked,102
450,2015/16,25-34,Unknown,2
451,2015/16,25-34,Current smoker,18
452,2015/16,25-34,Former smoker,35
453,2015/16,25-34,Never smoked,90
454,2015/16,25-34,Unknown,1
455,2015/16,25-34,Current smoker,11
456,2015/16,25-34,Former smoker,12
457,2015/16,25-34,Never smoked,85
458,2015/16,25-34,Unknown,1
459,2015/16,25-34,Former smoker,15
460,2015/16,25-34,Never smoked,81
461,2015/16,25-34,Unknown,1
462,2015/16,35 and over,Current smoker,3
463,2015/16,35 and over,Former smoker,2
464,2015/16,35 and over,Never smoked,12
465,2015/16,35 and over,Unknown,1
466,2015/16,35 and over,Current smoker,13
467,2015/16,35 and over,Former smoker,15
468,2015/16,35 and over,Never smoked,32
469,2015/16,35 and over,Current smoker,6
470,2015/16,35 and over,Former smoker,16
471,2015/16,35 and over,Never smoked,34
472,2015/16,35 and over,Unknown,2
473,2015/16,35 and over,Current smoker,1
474,2015/16,35 and over,Former smoker,6
475,2015/16,35 and over,Never smoked,38
476,2015/16,35 and over,Current smoker,1
477,2015/16,35 and over,Former smoker,6
478,2015/16,35 and over,Never smoked,36
479,2015/16,Under 25,Current smoker,20
480,2015/16,Under 25,Former smoker,10
481,2015/16,Under 25,Never smoked,16
482,2015/16,Under 25,Current smoker,40
483,2015/16,Under 25,Former smoker,22
484,2015/16,Under 25,Never smoked,40
485,2015/16,Under 25,Unknown,2
486,2015/16,Under 25,Current smoker,12
487,2015/16,Under 25,Former smoker,10
488,2015/16,Under 25,Never smoked,16
489,2015/16,Under 25,Current smoker,3
490,2015/16,Under 25,Former smoker,9
491,2015/16,Under 25,Never smoked,15
492,2015/16,Under 25,Current smoker,5
493,2015/16,Under 25,Former smoker,2
494,2015/16,Under 25,Never smoked,7
495,2015/16,25-34,Current smoker,3
496,2015/16,25-34,Former smoker,1
497,2015/16,25-34,Never smoked,2
498,2015/16,25-34,Current smoker,26
499,2015/16,25-34,Former smoker,14
500,2015/16,25-34,Never smoked,61
501,2015/16,25-34,Unknown,2
502,2015/16,25-34,Current smoker,22
503,2015/16,25-34,Former smoker,21
504,2015/16,25-34,Never smoked,112
505,2015/16,25-34,Unknown,5
506,2015/16,25-34,Current smoker,25
507,2015/16,25-34,Former smoker,20
508,2015/16,25-34,Never smoked,150
509,2015/16,25-34,Unknown,1
510,2015/16,25-34,Current smoker,11
511,2015/16,25-34,Former smoker,13
512,2015/16,25-34,Never smoked,81
513,2015/16,25-34,Unknown,2
514,2015/16,35 and over,Never smoked,2
515,2015/16,35 and over,Current smoker,2
516,2015/16,35 and over,Former smoker,4
517,2015/16,35 and over,Never smoked,15
518,2015/16,35 and over,Unknown,1
519,2015/16,35 and over,Current smoker,7
520,2015/16,35 and over,Former smoker,4
521,2015/16,35 and over,Never smoked,26
522,2015/16,35 and over,Unknown,1
523,2015/16,35 and over,Current smoker,5
524,2015/16,35 and over,Former smoker,3
525,2015/16,35 and over,Never smoked,49
526,2015/16,35 and over,Unknown,1
527,2015/16,35 and over,Current smoker,2
528,2015/16,35 and over,Never smoked,25
529,2015/16,Under 25,Current smoker,4
530,2015/16,Under 25,Former smoker,2
531,2015/16,Under 25,Never smoked,4
532,2015/16,Under 25,Current smoker,21
533,2015/16,Under 25,Former smoker,7
534,2015/16,Under 25,Never smoked,28
535,2015/16,Under 25,Unknown,1
536,2015/16,Under 25,Current smoker,21
537,2015/16,Under 25,Former smoker,12
538,2015/16,Under 25,Never smoked,26
539,2015/16,Under 25,Current smoker,18
540,2015/16,Under 25,Former smoker,11
541,2015/16,Under 25,Never smoked,49
542,2015/16,Under 25,Current smoker,5
543,2015/16,Under 25,Never smoked,15
544,2015/16,25-34,Current smoker,96
545,2015/16,25-34,Former smoker,48
546,2015/16,25-34,Never smoked,164
547,2015/16,25-34,Unknown,7
548,2015/16,25-34,Current smoker,26
549,2015/16,25-34,Former smoker,26
550,2015/16,25-34,Never smoked,86
551,2015/16,25-34,Unknown,1
552,2015/16,25-34,Current smoker,8
553,2015/16,25-34,Former smoker,10
554,2015/16,25-34,Never smoked,68
555,2015/16,25-34,Unknown,4
556,2015/16,25-34,Current smoker,10
557,2015/16,25-34,Former smoker,16
558,2015/16,25-34,Never smoked,68
559,2015/16,25-34,Unknown,2
560,2015/16,25-34,Current smoker,3
561,2015/16,25-34,Former smoker,5
562,2015/16,25-34,Never smoked,39
563,2015/16,35 and over,Current smoker,26
564,2015/16,35 and over,Former smoker,14
565,2015/16,35 and over,Never smoked,42
566,2015/16,35 and over,Current smoker,8
